ShipAvg,customer_zip_code_prefix
Slow,3415
Slow,3416
Priority,3417
Standard,3420
Standard,3421
Standard,3422
Standard,3423
Slow,3424
Standard,3425
Standard,3426
Standard,3427
Slow,3428
Standard,3429
Standard,3430
Standard,3431
Priority,3432
Priority,3433
Standard,3434
Slow,3435
Slow,3436
Standard,3437
"Very slow",3438
Priority,3440
Standard,3441
"Very slow",3442
Standard,3444
Standard,3445
Slow,3446
Standard,3447
Standard,3448
Slow,3449
Slow,3451
Slow,3452
Slow,3455
Standard,3456
Standard,3460
Standard,3461
Slow,3462
Standard,3463
Standard,3470
Slow,3471
Slow,3472
Priority,3474
Standard,3475
Standard,3476
Standard,3477
Standard,3478
Standard,3479
Standard,3480
Standard,3502
Standard,3503
Slow,3504
Standard,3505
Slow,3506
Standard,3507
Standard,3508
Slow,3509
Standard,3510
Slow,3511
Slow,3512
Slow,3513
Slow,3514
Standard,3515
Standard,3517
"Very slow",3518
Standard,3520
Slow,3521
Standard,3522
Standard,3523
Standard,3524
Priority,3525
Slow,3526
Standard,3527
Standard,3530
Standard,3531
Slow,3533
Slow,3534
Standard,3535
Priority,3541
Standard,3542
Standard,3543
Standard,3544
Slow,3545
Slow,3546
Standard,3547
Slow,3548
Standard,3550
Slow,3551
Slow,3552
Slow,3553
Slow,3555
Standard,3557
Standard,3558
Standard,3559
Slow,3560
Standard,3561
Standard,3562
Standard,3563
Standard,3564
Priority,3565
Standard,3566
Standard,3567
Slow,3568
Standard,3569
Standard,3570
Slow,3571
Standard,3572
Slow,3573
Standard,3574
Standard,3575
Slow,3576
Slow,3577
Slow,3578
Standard,3579
Priority,3580
Slow,3581
Slow,3582
Standard,3583
"Very slow",3584
Slow,3585
Slow,3587
Priority,3588
Standard,3589
Slow,3590
Slow,3591
Standard,3603
Standard,3604
Slow,3605
Slow,3606
Priority,3609
Slow,3610
Standard,3611
Standard,3612
Standard,3613
Standard,3614
Standard,3616
Priority,3617
Standard,3618
Standard,3622
Slow,3623
Standard,3624
Standard,3625
Priority,3627
Standard,3630
"Very slow",3633
Slow,3634
Priority,3636
Priority,3637
Standard,3638
Standard,3639
Standard,3640
Standard,3641
Slow,3642
Standard,3644
Slow,3645
Slow,3646
Slow,3647
Slow,3648
Standard,3649
Slow,3650
Slow,3651
Slow,3652
Slow,3653
Slow,3654
Slow,3655
Slow,3656
Standard,3657
Slow,3658
Slow,3659
"Very slow",3660
Slow,3661
Standard,3662
"Very slow",3663
Standard,3664
Standard,3665
Slow,3666
Standard,3668
Slow,3669
Slow,3672
Standard,3673
Priority,3674
Standard,3675
"Very slow",3676
Slow,3677
Standard,3678
Standard,3679
Slow,3680
Standard,3681
Slow,3682
"Very slow",3683
Slow,3685
Standard,3687
Standard,3688
Slow,3689
Slow,3690
"Very slow",3691
Standard,3692
Standard,3693
Slow,3694
Standard,3701
Slow,3702
Standard,3703
Slow,3704
Standard,3707
Standard,3710
Standard,3711
Standard,3712
Priority,3713
Standard,3714
Standard,3715
Slow,3716
Standard,3717
Slow,3718
Standard,3720
Slow,3721
Slow,3725
Slow,3726
Standard,3727
Standard,3728
Slow,3729
Standard,3731
Slow,3732
Standard,3733
Slow,3734
Standard,3735
Slow,3736
Standard,3737
Standard,3738
Slow,3755
Standard,3756
Standard,3757
Slow,3758
Standard,3759
Slow,3801
Slow,3802
"Very slow",3803
Standard,3804
Slow,3805
Slow,3806
Standard,3807
Standard,3808
Standard,3809
Slow,3810
Slow,3811
Standard,3812
Slow,3813
Slow,3814
Slow,3816
Slow,3817
Slow,3818
Standard,3819
Slow,3820
Standard,3821
Standard,3822
Slow,3823
Standard,3827
Slow,3828
Priority,3870
Slow,3871
Priority,3872
Standard,3873
Slow,3874
Slow,3876
Standard,3877
Slow,3880
Standard,3881
Slow,3882
Slow,3883
Standard,3884
Slow,3888
Priority,3891
Slow,3892
"Very slow",3893
Slow,3894
Slow,3896
Priority,3901
Standard,3904
Slow,3905
Slow,3907
"Very slow",3908
Slow,3909
Slow,3910
Slow,3911
Standard,3912
"Very slow",3917
Slow,3918
Slow,3920
"Very slow",3921
Slow,3922
"Very slow",3923
"Very slow",3924
Standard,3925
Slow,3927
Standard,3928
Slow,3929
Standard,3930
Standard,3931
Standard,3935
Standard,3936
Standard,3937
Standard,3938
Priority,3939
Standard,3940
Slow,3941
Standard,3942
Standard,3943
Slow,3944
Slow,3945
Standard,3946
Standard,3947
Slow,3950
Standard,3951
Standard,3952
Standard,3953
Standard,3958
Standard,3959
Priority,3960
Standard,3961
Standard,3962
"Very slow",3963
Standard,3965
Standard,3966
Slow,3967
Slow,3968
Slow,3969
Standard,3970
Slow,3971
Slow,3972
Slow,3973
Standard,3974
Slow,3975
Standard,3976
"Very slow",3977
Slow,3978
"Very slow",3979
"Very slow",3980
Standard,3981
Slow,3982
Slow,3983
Slow,3984
Slow,3985
Standard,3986
Standard,3988
Slow,3989
Slow,4001
Standard,4002
Standard,4003
Standard,4004
Slow,4005
Standard,4006
Standard,4007
Standard,4008
Standard,4009
Standard,4010
Standard,4011
Standard,4012
Standard,4013
Standard,4014
Slow,4015
Slow,4016
Slow,4017
Slow,4018
Slow,4019
Standard,4020
Standard,4021
Standard,4022
Standard,4023
"Very slow",4024
Slow,4025
Standard,4026
Standard,4027
Standard,4028
Standard,4029
Slow,4030
Slow,4031
Standard,4032
Standard,4035
Standard,4037
Slow,4038
Slow,4039
Slow,4040
Standard,4041
Slow,4042
Slow,4043
"Very slow",4044
Standard,4045
Slow,4046
Slow,4047
Standard,4048
Slow,4049
Standard,4050
Slow,4052
Slow,4053
Standard,4054
Standard,4055
Standard,4057
Slow,4058
Slow,4059
Slow,4061
Standard,4062
Slow,4063
Slow,4064
Slow,4065
Slow,4066
Priority,4067
Standard,4068
Standard,4070
Standard,4071
Standard,4074
Standard,4075
Standard,4076
Slow,4077
Slow,4078
Standard,4079
Standard,4080
Standard,4081
Priority,4082
Standard,4084
Standard,4085
Slow,4086
Slow,4087
Slow,4088
Standard,4089
Standard,4090
Standard,4101
Standard,4102
Standard,4103
Standard,4104
Standard,4105
Slow,4106
Standard,4107
Slow,4108
Slow,4109
Slow,4110
Standard,4111
Standard,4112
Standard,4113
Slow,4114
Standard,4115
Standard,4116
Standard,4117
Standard,4118
Slow,4119
Standard,4120
Standard,4121
Standard,4122
Slow,4123
Standard,4124
Slow,4125
Standard,4126
Standard,4127
Slow,4128
Slow,4129
Standard,4130
Standard,4131
Standard,4132
Slow,4134
Slow,4135
Standard,4136
Slow,4137
Slow,4138
Standard,4139
Standard,4140
Standard,4141
Slow,4142
Standard,4143
Standard,4144
Standard,4145
Slow,4146
Priority,4147
Standard,4148
Standard,4149
Standard,4150
Slow,4151
Slow,4152
Standard,4153
Standard,4154
Standard,4155
Standard,4156
Slow,4157
Standard,4158
Slow,4159
Priority,4160
Slow,4161
Slow,4162
Slow,4163
Standard,4164
Slow,4165
Slow,4166
Slow,4167
Priority,4168
Standard,4169
Slow,4171
Slow,4173
Standard,4174
Slow,4176
Slow,4177
Standard,4180
Slow,4181
Standard,4182
Standard,4183
Standard,4184
Slow,4185
Slow,4186
Standard,4187
Standard,4190
Slow,4191
Slow,4193
Slow,4194
Standard,4195
Standard,4201
"Very slow",4202
Slow,4203
Slow,4204
Slow,4205
Standard,4206
Standard,4207
Standard,4208
Slow,4209
Slow,4210
Standard,4211
Slow,4212
Standard,4213
Slow,4215
Slow,4216
Slow,4217
Standard,4218
Standard,4221
